country,country_en,country_iso3,patch_id,geometry_intersects,station_observed_ssp126,station_count_ssp126,capacity_gw_ssp126,station_observed_ssp245,station_count_ssp245,capacity_gw_ssp245,station_observed_ssp585,station_count_ssp585,capacity_gw_ssp585
Sweden,Sweden,SWE,R02C07,True,True,5858,40.849252,True,5858,40.849252,True,5858,40.849252
Switzerland,Switzerland,CHE,R02C07,True,True,3526,34.652321,True,3526,34.652321,True,3526,34.652321
Syria,Syria,SYR,R02C08,True,True,14371,225.738884,True,14371,225.738884,True,14371,225.738884
Tajikistan,Tajikistan,TJK,R02C09,True,True,3417,50.918942,True,3417,50.918942,True,3417,50.918942
Tanzania,Tanzania,TZA,R04C07,True,True,55,1.190866,True,55,1.190866,False,55,1.190866
Tanzania,Tanzania,TZA,R04C08,True,True,19718,374.974132,True,19718,374.974132,True,19718,374.974132
Thailand,Thailand,THA,R03C10,True,True,29181,543.058355,True,29181,543.058355,True,29181,543.058355
Timor-Leste,East Timor,TLS,R04C11,True,True,270,15.592958,False,270,15.592958,True,270,15.592958
Togo,Togo,TGO,R03C06,True,False,0,0,False,0,0,False,0,0
Togo,Togo,TGO,R03C07,True,True,4646,67.564914,True,4646,67.564914,True,4646,67.564914
Trinidad and Tobago,Trinidad and Tobago,TTO,R03C04,True,True,36,1.703839,False,36,1.703839,False,36,1.703839
